"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","merge_col"
"WGN07","C",1,1,"WGN07C01",1,"STP",2017,1,32,33,NA,"WGN07C01_STP_2017_1"
"WGN07","C",1,1,"WGN07C01",1286,"STP",2017,2,40,4,NA,"WGN07C01_STP_2017_2"
"WGN07","D",1,2,"WGN07D01",66,"STP",2017,1,18,30,NA,"WGN07D01_STP_2017_1"
"WGN07","D",1,2,"WGN07D01",1351,"STP",2017,2,48,34,NA,"WGN07D01_STP_2017_2"
"WGN07","C",2,3,"WGN07C02",2,"STP",2017,1,25,40,NA,"WGN07C02_STP_2017_1"
"WGN07","C",2,3,"WGN07C02",1287,"STP",2017,2,57,5,NA,"WGN07C02_STP_2017_2"
"WGN07","D",2,4,"WGN07D02",67,"STP",2017,1,11,23,NA,"WGN07D02_STP_2017_1"
"WGN07","D",2,4,"WGN07D02",1352,"STP",2017,2,41,4,NA,"WGN07D02_STP_2017_2"
"WGN07","C",3,5,"WGN07C03",3,"STP",2017,1,8,13,NA,"WGN07C03_STP_2017_1"
"WGN07","C",3,5,"WGN07C03",1288,"STP",2017,2,48,2,NA,"WGN07C03_STP_2017_2"
"WGN07","D",3,6,"WGN07D03",68,"STP",2017,1,20,8,NA,"WGN07D03_STP_2017_1"
"WGN07","D",3,6,"WGN07D03",1353,"STP",2017,2,63,22,NA,"WGN07D03_STP_2017_2"
"WGN07","C",4,7,"WGN07C04",4,"STP",2017,1,17,10,NA,"WGN07C04_STP_2017_1"
"WGN07","C",4,7,"WGN07C04",1289,"STP",2017,2,47,30,NA,"WGN07C04_STP_2017_2"
"WGN07","D",4,8,"WGN07D04",69,"STP",2017,1,18,17,NA,"WGN07D04_STP_2017_1"
"WGN07","D",4,8,"WGN07D04",1354,"STP",2017,2,55,15,NA,"WGN07D04_STP_2017_2"
"WGN07","C",5,9,"WGN07C05",5,"STP",2017,1,26,37,NA,"WGN07C05_STP_2017_1"
"WGN07","C",5,9,"WGN07C05",1290,"STP",2017,2,47,35,NA,"WGN07C05_STP_2017_2"
"WGN07","D",5,10,"WGN07D05",70,"STP",2017,1,12,24,NA,"WGN07D05_STP_2017_1"
"WGN07","D",5,10,"WGN07D05",1355,"STP",2017,2,49,30,NA,"WGN07D05_STP_2017_2"
"WGN07","C",6,11,"WGN07C06",6,"STP",2017,1,12,4,NA,"WGN07C06_STP_2017_1"
"WGN07","C",6,11,"WGN07C06",1291,"STP",2017,2,63,8,NA,"WGN07C06_STP_2017_2"
"WGN07","D",6,12,"WGN07D06",71,"STP",2017,1,17,27,NA,"WGN07D06_STP_2017_1"
"WGN07","D",6,12,"WGN07D06",1356,"STP",2017,2,38,41,NA,"WGN07D06_STP_2017_2"
"WGN07","C",7,13,"WGN07C07",7,"STP",2017,1,17,13,NA,"WGN07C07_STP_2017_1"
"WGN07","C",7,13,"WGN07C07",1292,"STP",2017,2,41,20,NA,"WGN07C07_STP_2017_2"
"WGN07","D",7,14,"WGN07D07",72,"STP",2017,1,7,40,NA,"WGN07D07_STP_2017_1"
"WGN07","D",7,14,"WGN07D07",1357,"STP",2017,2,47,41,NA,"WGN07D07_STP_2017_2"
"WGN07","C",8,15,"WGN07C08",8,"STP",2017,1,16,14,NA,"WGN07C08_STP_2017_1"
"WGN07","C",8,15,"WGN07C08",1293,"STP",2017,2,59,20,NA,"WGN07C08_STP_2017_2"
"WGN07","D",8,16,"WGN07D08",73,"STP",2017,1,9,4,NA,"WGN07D08_STP_2017_1"
"WGN07","D",8,16,"WGN07D08",1358,"STP",2017,2,42,2,NA,"WGN07D08_STP_2017_2"
"WGN07","C",9,17,"WGN07C09",9,"STP",2017,1,18,28,NA,"WGN07C09_STP_2017_1"
