"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","seed_area","seeds_per_spike"
"WGN07","C",1,1,"WGN07C01",1,"STP",2017,1,32,33,NA,"7.5","3.075524476"
"WGN07","C",1,1,"WGN07C01",1286,"STP",2017,2,40,4,NA,"7.4","3.548"
"WGN07","D",1,2,"WGN07D01",66,"STP",2017,1,18,30,NA,"7.7","5.447826087"
"WGN07","D",1,2,"WGN07D01",1351,"STP",2017,2,48,34,NA,NA,NA
"WGN07","C",2,3,"WGN07C02",2,"STP",2017,1,25,40,NA,"7.8","4.3"
"WGN07","C",2,3,"WGN07C02",1287,"STP",2017,2,57,5,NA,"7.6","4.107042254"
"WGN07","D",2,4,"WGN07D02",67,"STP",2017,1,11,23,NA,"7.9","4.17816092"
"WGN07","D",2,4,"WGN07D02",1352,"STP",2017,2,41,4,NA,"8.2","3.792857143"
"WGN07","C",3,5,"WGN07C03",3,"STP",2017,1,8,13,NA,"9.1","4.753846154"
"WGN07","C",3,5,"WGN07C03",1288,"STP",2017,2,48,2,NA,"8.4","4.779452055"
"WGN07","D",3,6,"WGN07D03",68,"STP",2017,1,20,8,NA,"6.2","2.588709677"
"WGN07","D",3,6,"WGN07D03",1353,"STP",2017,2,63,22,NA,"6.4","2.679661017"
"WGN07","C",4,7,"WGN07C04",4,"STP",2017,1,17,10,NA,"7.5","3.747692308"
"WGN07","C",4,7,"WGN07C04",1289,"STP",2017,2,47,30,NA,"7.7","4.040559441"
"WGN07","D",4,8,"WGN07D04",69,"STP",2017,1,18,17,NA,"8.1","4.284375"
"WGN07","D",4,8,"WGN07D04",1354,"STP",2017,2,55,15,NA,"8.6","4.276"
"WGN07","C",5,9,"WGN07C05",5,"STP",2017,1,26,37,NA,"8.6","5.279461279"
"WGN07","C",5,9,"WGN07C05",1290,"STP",2017,2,47,35,NA,"9","5.385403329"
"WGN07","D",5,10,"WGN07D05",70,"STP",2017,1,12,24,NA,"6.8","4.816558442"
"WGN07","D",5,10,"WGN07D05",1355,"STP",2017,2,49,30,NA,"7.1","3.323863636"
"WGN07","C",6,11,"WGN07C06",6,"STP",2017,1,12,4,NA,"8.1","4.169117647"
"WGN07","C",6,11,"WGN07C06",1291,"STP",2017,2,63,8,NA,"7.4","3.7875"
"WGN07","D",6,12,"WGN07D06",71,"STP",2017,1,17,27,NA,"7.4","3.420895522"
"WGN07","D",6,12,"WGN07D06",1356,"STP",2017,2,38,41,NA,"7.6","3.833823529"
"WGN07","C",7,13,"WGN07C07",7,"STP",2017,1,17,13,NA,"7.5","5.034782609"
"WGN07","C",7,13,"WGN07C07",1292,"STP",2017,2,41,20,NA,"7.9","4.604761905"
"WGN07","D",7,14,"WGN07D07",72,"STP",2017,1,7,40,NA,"7.8","4.627118644"
"WGN07","D",7,14,"WGN07D07",1357,"STP",2017,2,47,41,NA,"8.4","4.117797695"
"WGN07","C",8,15,"WGN07C08",8,"STP",2017,1,16,14,NA,"8.1","3.885245902"
"WGN07","C",8,15,"WGN07C08",1293,"STP",2017,2,59,20,NA,"8.4","3.46"
"WGN07","D",8,16,"WGN07D08",73,"STP",2017,1,9,4,NA,"8","4.080882353"
"WGN07","D",8,16,"WGN07D08",1358,"STP",2017,2,42,2,NA,"8.1","3.924193548"
"WGN07","C",9,17,"WGN07C09",9,"STP",2017,1,18,28,NA,"8.3","4.617936118"
"WGN07","C",9,17,"WGN07C09",1294,"STP",2017,2,43,22,NA,"7.9","4.826899128"
"WGN07","D",9,18,"WGN07D09",74,"STP",2017,1,21,3,NA,"8.2","3.476190476"
"WGN07","D",9,18,"WGN07D09",1359,"STP",2017,2,36,37,NA,"9.9","3.0328125"
"WGN07","C",10,19,"WGN07C10",10,"STP",2017,1,12,19,"self",NA,NA
"WGN07","C",10,19,"WGN07C10",1295,"STP",2017,2,39,41,"self",NA,NA
"WGN07","D",10,20,"WGN07D10",75,"STP",2017,1,10,27,NA,"6.7","0.976271186"
"WGN07","D",10,20,"WGN07D10",1360,"STP",2017,2,36,22,NA,"7.1","1.120689655"
"WGN07","C",11,21,"WGN07C11",11,"STP",2017,1,21,37,NA,"8.5","4.626760563"
"WGN07","C",11,21,"WGN07C11",1296,"STP",2017,2,46,19,NA,"8.4","4.364"
"WGN07","D",11,22,"WGN07D11",76,"STP",2017,1,7,26,NA,"7","4.681967213"
"WGN07","D",11,22,"WGN07D11",1361,"STP",2017,2,55,17,NA,"7.7","4.516431925"
"WGN07","C",12,23,"WGN07C12",12,"STP",2017,1,11,28,NA,"7.7","4.208823529"
"WGN07","C",12,23,"WGN07C12",1297,"STP",2017,2,60,7,NA,"8","3.944594595"
"WGN07","D",12,24,"WGN07D12",77,"STP",2017,1,26,2,NA,"7.9","3.53342246"
"WGN07","D",12,24,"WGN07D12",1362,"STP",2017,2,35,39,NA,"8.8","3.347619048"
"WGN07","C",13,25,"WGN07C13",13,"STP",2017,1,18,41,NA,"7","3.462857143"
"WGN07","C",13,25,"WGN07C13",1298,"STP",2017,2,33,33,NA,"7.7","1.948051948"
"WGN07","D",13,26,"WGN07D13",78,"STP",2017,1,15,6,NA,"7.4","4.902857143"
"WGN07","D",13,26,"WGN07D13",1363,"STP",2017,2,46,24,NA,"8","4.126923077"
"WGN07","C",14,27,"WGN07C14",14,"STP",2017,1,7,13,NA,"9.8","4.482608696"
"WGN07","C",14,27,"WGN07C14",1299,"STP",2017,2,43,36,NA,"9.2","4.487917146"
"WGN07","D",14,28,"WGN07D14",79,"STP",2017,1,21,19,NA,"7.7","4.525423729"
"WGN07","D",14,28,"WGN07D14",1364,"STP",2017,2,44,16,NA,"8","4.67"
"WGN07","C",15,29,"WGN07C15",15,"STP",2017,1,22,3,NA,"7.2","3.512903226"
"WGN07","C",15,29,"WGN07C15",1300,"STP",2017,2,37,40,NA,"7.6","3.496551724"
"WGN07","D",15,30,"WGN07D15",80,"STP",2017,1,10,23,NA,"6.9","3.907894737"
"WGN07","D",15,30,"WGN07D15",1365,"STP",2017,2,36,40,NA,"8.5","4.314671815"
"WGN07","C",16,31,"WGN07C16",16,"STP",2017,1,1,22,NA,"7.7","3.643421053"
"WGN07","C",16,31,"WGN07C16",1301,"STP",2017,2,55,38,NA,"7.6","4.025675676"
"WGN07","D",16,32,"WGN07D16",81,"STP",2017,1,28,3,NA,"8.1","4.15"
"WGN07","D",16,32,"WGN07D16",1366,"STP",2017,2,34,24,NA,"7.7","4.572413793"
"WGN07","C",17,33,"WGN07C17",17,"STP",2017,1,26,18,NA,"7.3","4.367088608"
"WGN07","C",17,33,"WGN07C17",1302,"STP",2017,2,51,39,NA,"7.8","4.097368421"
"WGN07","D",17,34,"WGN07D17",82,"STP",2017,1,3,21,NA,"8.5","4.317391304"
"WGN07","D",17,34,"WGN07D17",1367,"STP",2017,2,37,2,NA,"9.3","3.626865672"
"WGN07","C",18,35,"WGN07C18",18,"STP",2017,1,7,29,NA,"8.4","4.711764706"
"WGN07","C",18,35,"WGN07C18",1303,"STP",2017,2,60,11,NA,"8.1","4.743103448"
