"height","reproductive_tiller_ct","florets_per_spikelet","emergence_percent","stem_diameter","yield_per_plant","floret_site_utilization","spikelet_density","yield_per_spike","thousand_grain_weight","spikelets_per_spike","merge_col","flag_leaf_area","anthesis_score"
"100","47","8","0.342857143","2.016666667","14.604864","0.384440559","0.928571429","0.467060364","7.824",21.6666666666667,"WGN07C01_STP_2017_1",21.6,7
"90","19","9","0.37037037","2.3","10.069","0.477777778","0.888888889","0.7269","7.832",24,"WGN07C02_STP_2017_1",24,7
"110","91","9.333333333","0.696774194","2.5","38.052308","0.509340659","1.006451613","1.0120908","9.921",26,"WGN07C03_STP_2017_1",22.1,8
"110","36","7.333333333","0.415384615","2.093333333","11.536287","0.511048951","1","0.5953087","8.18",21.6666666666667,"WGN07C04_STP_2017_1",20,7
"125","119","11.33333333","0.693467337","2.7",NA,"0.465834819","0.814070352","1.259211","9.36",27,"WGN07C05_STP_2017_1",22,8
"105","80","9.666666667",NA,"1.953333333","25.933024","0.431288032",NA,"0.7062224","8.145",22.6666666666667,"WGN07C06_STP_2017_1",27.6,8
"100","22","10.33333333","0.506024096","2.733333333",NA,"0.487237027","0.831325301","0.8786","8.254",23,"WGN07C07_STP_2017_1",20.9,7
"100","50","9","0.575342466","2.086666667","15.115517","0.431693989","0.835616438","0.6641017","9.524",20.3333333333333,"WGN07C08_STP_2017_1",24.2,8
"105","72","8","0.505617978","2.36","40.712495","0.577242015","0.831460674","0.963917727","9.05",24.6666666666667,"WGN07C09_STP_2017_1",30,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WGN07C10_STP_2017_1",NA,NA
"110","86","9.666666667","0.555555556","2.256666667",NA,"0.478630403","0.87654321","0.928830125","8.776",23.6666666666667,"WGN07C11_STP_2017_1",24.7,9
"120","84","9.333333333","0.588957055","1.913333333",NA,"0.450945378","0.834355828","0.7754194","8.221",22.6666666666667,"WGN07C12_STP_2017_1",26,8
"100","38","8.666666667","0.128571429","2.09","15.7052","0.39956044","1","0.5964","7.507",23.3333333333333,"WGN07C13_STP_2017_1",17,6
"120","107","8","0.518518519","2.366666667","64.716964","0.560326087","0.851851852","0.9784164","11.175",23,"WGN07C14_STP_2017_1",22,8
"100","89","8.666666667","0.564102564","1.756666667","19.774498","0.405334988","1.05982906","0.5317998","7.832",20.6666666666667,"WGN07C15_STP_2017_1",29.4,7
"95","41","10","0.653846154","2.266666667","19.135421","0.364342105","0.974358974","0.6373821","7.431",25.3333333333333,"WGN07C16_STP_2017_1",18.9,9
"110","67","10","0.379746835","2.16","34.185136","0.436708861","1","0.905276","8.01",26.3333333333333,"WGN07C17_STP_2017_1",33.6,8
"115","119","8.666666667","0.5625","2.616666667","58.626368","0.543665158","0.85","0.8752768","9.463",22.6666666666667,"WGN07C18_STP_2017_1",29.4,7
