famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN38	0.553851037692337	0.00856063191242662	1077	0.537053630398206	0.570648444986469	 A   
WGN07	0.581500191422775	0.00767322514069073	1077	0.566444026262741	0.596556356582809	 AB  
WGN63	0.586806256529464	0.00794060722246026	1077	0.571225442514465	0.602387070544464	 ABC 
WGN15	0.594221860283267	0.00773370395723302	1077	0.579047025459064	0.609396695107471	  BC 
WGN45	0.608140345914684	0.00828379144293838	1077	0.591886146431501	0.624394545397866	  BC 
WGN39	0.612556073836495	0.0076698438230982	1077	0.597506543393311	0.62760560427968	  BCD
WGN26	0.613390175718431	0.008077687811885	1077	0.597540386408588	0.629239965028273	  BCD
WGN46	0.61978088676473	0.00791001809870095	1077	0.604260093782735	0.635301679746725	   CD
WGN36	0.62177197275641	0.00795553738351597	1077	0.606161863240939	0.63738208227188	   CD
WGN55	0.6456655905243	0.00769366106756608	1077	0.63056932662031	0.66076185442829	    D
