famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN15	0.0124621836102016	0.00212140860246315	716	0.00829725874805864	0.0166271084723446	 A     
WGN63	0.0169196398863824	0.00196546166593783	716	0.0130608829507554	0.0207783968220094	 AB    
WGN39	0.0185626911257672	0.00199790268274999	716	0.0146402433022475	0.022485138949287	 ABC   
WGN07	0.0234522415470057	0.00192623515457358	716	0.019670497343507	0.0272339857505044	  BCD  
WGN45	0.0258963691399265	0.00191365963436271	716	0.0221393142380172	0.0296534240418358	   CDE 
WGN55	0.0265507751020911	0.00188778172518773	716	0.0228445258522273	0.0302570243519548	   CDE 
WGN36	0.0272424070910628	0.00192552842576785	716	0.0234620503960197	0.0310227637861059	   CDE 
WGN38	0.0293443615218251	0.00208658273949687	716	0.0252478096748313	0.0334409133688189	    DE 
WGN26	0.0336832443259699	0.00194865622312623	716	0.029857481225903	0.0375090074260369	     EF
WGN46	0.0417378115314323	0.00177598062865591	716	0.0382510594430392	0.0452245636198253	      F
