famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN45	5.8540439401386	0.058297084293937	1089	5.73965662162852	5.96843125864867	 A    
WGN63	5.97594726633283	0.0556770454294579	1089	5.86670084335347	6.0851936893122	 AB   
WGN39	5.97755474006633	0.0537767525677286	1089	5.87203696676935	6.0830725133633	 A    
WGN55	6.02656485123539	0.0537445546335938	1089	5.92111025494618	6.13201944752459	 ABC  
WGN15	6.02807536747088	0.0540115571067436	1089	5.92209687367789	6.13405386126387	 ABC  
WGN26	6.22739169215504	0.0566394354444382	1089	6.11625692065005	6.33852646366003	  BCD 
WGN07	6.24510888327469	0.053794804291136	1089	6.13955568988321	6.35066207666617	   CD 
WGN36	6.39786531045509	0.0559869646011923	1089	6.28801078119667	6.50771983971351	    DE
WGN46	6.52518025408258	0.0548511220532451	1089	6.41755441232857	6.63280609583659	     E
WGN38	6.53584491478816	0.060245419702802	1089	6.41763468016354	6.65405514941278	     E
