famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN07	102.621951219513	0.369083779060558	1122	101.897779114505	103.346123324522	 A       
WGN38	108.061576135352	0.418056800919065	1122	107.241315016575	108.881837254129	  B      
WGN36	113.791510578193	0.383471840347437	1122	113.039107937951	114.543913218436	   C     
WGN46	114.243261733598	0.376394367419546	1122	113.504745665345	114.98177780185	   C     
WGN26	117.714696497477	0.393163861940017	1122	116.943277330157	118.486115664797	    D    
WGN45	119.297708002634	0.408735735254555	1122	118.495735565523	120.099680439746	    DE   
WGN55	119.771092170915	0.36743637197247	1122	119.050152411315	120.492031930514	     E   
WGN15	124.247782724842	0.371838051023146	1122	123.518206516381	124.977358933304	      F  
WGN39	125.986003335737	0.368853110757583	1122	125.262283820519	126.709722850954	       G 
WGN63	129.826484662888	0.374947794233005	1122	129.090806887753	130.562162438024	        H
