famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN07	82.4246571353716	0.508976806436266	1125	81.4260065177647	83.4233077529786	 A    
WGN38	89.4526077829826	0.562649216869454	1125	88.3486478759351	90.5565676900301	  B   
WGN55	89.7814464743878	0.498568875798637	1125	88.8032169962666	90.7596759525089	  B   
WGN36	90.1720884118345	0.541548951298531	1125	89.1095288062891	91.2346480173799	  B   
WGN46	90.5622283354291	0.508762227370876	1125	89.5639987380208	91.5604579328373	  B   
WGN26	93.244638645432	0.522703362547722	1125	92.2190554965879	94.2702217942761	   C  
WGN39	93.9221573768656	0.496653930254509	1125	92.9476851653353	94.8966295883959	   C  
WGN15	96.49323268206	0.492860033175301	1125	95.5262043807696	97.4602609833504	    D 
WGN45	97.1147402122498	0.525863478711085	1125	96.0829566787942	98.1465237457054	    DE
WGN63	99.2207649207948	0.512660818981248	1125	98.2148859946347	100.226643846955	     E
