famID	response	SE	df	lower.CL	upper.CL	.group
WGN26	105.926734098753	2.26473105827915	1123	101.529755174379	110.416916159048	 A    
WGN45	120.718856701982	2.51910938467334	1123	115.826759079201	125.712140638191	  B   
WGN36	140.45030165272	2.55164826716386	1123	135.488383144167	145.501452397419	   C  
WGN07	141.239023334591	2.46346014971779	1123	136.446873940763	146.113879146448	   C  
WGN46	159.833526751986	2.6619529453021	1123	154.653234005649	165.09915617024	    D 
WGN38	161.830922489498	2.95929161753523	1123	156.076641446633	167.689367341602	    D 
WGN15	170.902559129696	2.71900500151875	1123	165.609291055879	176.279094465111	    D 
WGN55	189.055431251014	2.81518461801987	1123	183.57216329029	194.61939064669	     E
WGN63	196.458412155837	2.9397578080548	1123	190.732713589474	202.268785742772	     E
WGN39	200.946866161489	2.91358869840612	1123	195.270834131141	206.704214580969	     E
