plantID3	famID	emmean	SE	df	lower.CL	upper.CL
1	WGN07	6.29999999999615	0.269376398908154	1136	5.77146884039157	6.82853115960073
2	WGN07	7.34999999999986	0.269376398908247	1136	6.8214688403951	7.87853115960462
3	WGN07	7.59999999999827	0.269376398908267	1136	7.07146884039347	8.12853115960307
4	WGN07	6.69999999999951	0.269376398908256	1136	6.17146884039474	7.22853115960429
5	WGN07	7.40000000000035	0.269376398908264	1136	6.87146884039556	7.92853115960515
6	WGN07	5.94999999999989	0.269376398908246	1136	5.42146884039513	6.47853115960464
7	WGN07	7.04999999999997	0.269376398908255	1136	6.52146884039519	7.57853115960474
8	WGN07	7.3999999999999	0.269376398908249	1136	6.87146884039514	7.92853115960466
9	WGN07	7.7499999999999	0.269376398908253	1136	7.22146884039512	8.27853115960467
10	WGN07	6.59999999999988	0.269376398908251	1136	6.07146884039511	7.12853115960464
11	WGN07	6.84999999999989	0.269376398908247	1136	6.32146884039513	7.37853115960465
12	WGN07	6.59999999999988	0.269376398908256	1136	6.0714688403951	7.12853115960465
13	WGN07	6.59999999999987	0.269376398908257	1136	6.07146884039509	7.12853115960465
14	WGN07	7.34999999999989	0.269376398908253	1136	6.82146884039512	7.87853115960466
15	WGN07	7.29999999999993	0.269376398908258	1136	6.77146884039515	7.82853115960472
16	WGN07	7.19999999999994	0.269376398908263	1136	6.67146884039515	7.72853115960473
17	WGN07	7.49999999999994	0.269376398908253	1136	6.97146884039517	8.02853115960471
18	WGN07	8.04999999999991	0.269376398908249	1136	7.52146884039514	8.57853115960467
20	WGN07	6.04999999999991	0.269376398908249	1136	5.52146884039514	6.57853115960467
21	WGN07	7.09999999999989	0.26937639890825	1136	6.57146884039512	7.62853115960465
22	WGN07	6.89999999999994	0.269376398908247	1136	6.37146884039518	7.4285311596047
23	WGN07	6.84999999999989	0.269376398908246	1136	6.32146884039513	7.37853115960465
24	WGN07	7.04999999999989	0.269376398908243	1136	6.52146884039514	7.57853115960465
25	WGN07	6.59999999999989	0.269376398908251	1136	6.07146884039513	7.12853115960466
26	WGN07	7.1499999999999	0.269376398908249	1136	6.62146884039514	7.67853115960467
27	WGN07	7.99999999999985	0.269376398908248	1136	7.47146884039509	8.52853115960461
28	WGN07	6.69999999999987	0.26937639890824	1136	6.17146884039512	7.22853115960461
29	WGN07	6.39999999999989	0.269376398908241	1136	5.87146884039514	6.92853115960464
30	WGN07	6.89999999999989	0.26937639890825	1136	6.37146884039513	7.42853115960466
31	WGN07	6.59999999999989	0.269376398908246	1136	6.07146884039513	7.12853115960465
32	WGN07	6.89999999999992	0.269376398908255	1136	6.37146884039514	7.4285311596047
33	WGN07	6.84999999999992	0.269376398908254	1136	6.32146884039515	7.37853115960469
34	WGN07	8.24999999999989	0.269376398908249	1136	7.72146884039513	8.77853115960465
35	WGN07	7.64999999999989	0.269376398908249	1136	7.12146884039513	8.17853115960466
36	WGN07	6.99999999999999	0.269376398908252	1136	6.47146884039522	7.52853115960476
37	WGN07	6.34999999999992	0.269376398908258	1136	5.82146884039514	6.8785311596047
38	WGN07	7.49999999999982	0.269376398908253	1136	6.97146884039505	8.02853115960459
39	WGN07	6.14999999999987	0.26937639890825	1136	5.62146884039511	6.67853115960464
40	WGN07	6.54999999999989	0.269376398908248	1136	6.02146884039513	7.07853115960465
41	WGN07	7.44999999999993	0.269376398908243	1136	6.92146884039518	7.97853115960469
42	WGN07	6.5999999999999	0.269376398908248	1136	6.07146884039514	7.12853115960466
44	WGN07	6.39999999999991	0.269376398908249	1136	5.87146884039515	6.92853115960468
46	WGN07	7.14999999999989	0.269376398908253	1136	6.62146884039512	7.67853115960467
47	WGN07	6.44999999999987	0.269376398908245	1136	5.92146884039511	6.97853115960462
48	WGN07	7.34999999999988	0.269376398908246	1136	6.82146884039512	7.87853115960463
49	WGN07	8.44999999999988	0.269376398908249	1136	7.92146884039512	8.97853115960464
50	WGN07	7.1499999999999	0.269376398908247	1136	6.62146884039514	7.67853115960465
51	WGN07	6.49999999999988	0.26937639890825	1136	5.97146884039512	7.02853115960465
52	WGN07	7.04999999999991	0.269376398908255	1136	6.52146884039514	7.57853115960469
53	WGN07	6.69999999999991	0.269376398908246	1136	6.17146884039516	7.22853115960467
54	WGN07	6.94665787159179	0.381039510871472	1136	6.19903760733573	7.69427813584785
55	WGN07	6.69999999999987	0.269376398908252	1136	6.1714688403951	7.22853115960464
56	WGN07	7.34999999999986	0.269376398908249	1136	6.8214688403951	7.87853115960462
57	WGN07	7.09999999999983	0.269376398908239	1136	6.57146884039509	7.62853115960458
58	WGN07	8.14999999999988	0.269376398908248	1136	7.62146884039512	8.67853115960465
59	WGN07	6.49999999999989	0.269376398908251	1136	5.97146884039513	7.02853115960466
60	WGN07	6.64999999999988	0.269376398908253	1136	6.12146884039511	7.17853115960465
61	WGN07	6.9999999999999	0.269376398908249	1136	6.47146884039513	7.52853115960466
62	WGN07	7.55334212840802	0.381039510871493	1136	6.80572186415192	8.30096239266412
63	WGN07	6.3999999999998	0.269376398908252	1136	5.87146884039503	6.92853115960457
64	WGN07	6.99999999999988	0.269376398908254	1136	6.4714688403951	7.52853115960465
66	WGN07	7.19999999999989	0.269376398908247	1136	6.67146884039513	7.72853115960465
67	WGN07	7.0999999999999	0.269376398908251	1136	6.57146884039513	7.62853115960466
68	WGN07	6.09999999999988	0.26937639890825	1136	5.57146884039512	6.62853115960465
69	WGN07	7.14999999999989	0.269376398908248	1136	6.62146884039513	7.67853115960465
71	WGN07	7.94999999999984	0.269376398908244	1136	7.42146884039509	8.47853115960459
73	WGN07	6.8499999999999	0.269376398908246	1136	6.32146884039514	7.37853115960466
74	WGN07	7.09999999999989	0.26937639890825	1136	6.57146884039513	7.62853115960465
75	WGN07	6.79999999999987	0.269376398908246	1136	6.27146884039511	7.32853115960463
76	WGN07	6.74999999999992	0.269376398908252	1136	6.22146884039515	7.27853115960469
77	WGN07	7.14999999999989	0.269376398908249	1136	6.62146884039513	7.67853115960466
78	WGN07	6.89999999999989	0.269376398908253	1136	6.37146884039511	7.42853115960466
79	WGN07	7.24999999999985	0.269376398908244	1136	6.7214688403951	7.77853115960461
80	WGN07	7.54999999999991	0.269376398908255	1136	7.02146884039513	8.07853115960468
81	WGN07	6.49999999999984	0.269376398908243	1136	5.97146884039509	7.02853115960459
82	WGN07	6.79999999999989	0.269376398908247	1136	6.27146884039513	7.32853115960465
83	WGN07	6.49999999999989	0.269376398908252	1136	5.97146884039512	7.02853115960466
84	WGN07	7.59999999999985	0.269376398908249	1136	7.07146884039509	8.12853115960462
85	WGN07	7.6999999999999	0.26937639890825	1136	7.17146884039513	8.22853115960466
86	WGN07	7.24999999999989	0.269376398908252	1136	6.72146884039512	7.77853115960466
87	WGN07	7.34999999999989	0.269376398908251	1136	6.82146884039512	7.87853115960466
