famID	emmean	SE	df	lower.CL	upper.CL
WGN07	0.115208515726601	0.0102748318318342	717	0.095036163525184	0.135380867928017
WGN15	0.0581170152001523	0.0113159061283612	717	0.0359007446435642	0.0803332857567404
WGN26	0.160605564267053	0.0103601031471176	717	0.140265800760739	0.180945327773368
WGN36	0.135267659903819	0.010271079512454	717	0.115102674548824	0.155432645258814
WGN38	0.149677908945879	0.0111301568490868	717	0.127826315879299	0.17152950201246
WGN39	0.0939848270289975	0.0106571306560845	717	0.0730619159225611	0.114907738135434
WGN45	0.117046981770848	0.010207751679053	717	0.0970063265635797	0.137087636978117
WGN46	0.22590666636568	0.00947336843031279	717	0.207307809699435	0.244505523031924
WGN55	0.126172054507962	0.0100697061974712	717	0.106402420969939	0.145941688045985
WGN63	0.077527029192447	0.0104840744729262	717	0.0569438754985344	0.0981101828863597
