famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN15	2.12324284930938	0.0147811850304185	1111	2.09424066353536	2.15224503508341	 A    
WGN45	2.22864958037274	0.0165101650098609	1111	2.19625496033447	2.26104420041101	  B   
WGN07	2.23934281843903	0.0145548563211763	1111	2.21078471257185	2.2679009243062	  B   
WGN26	2.28817971937067	0.0158914769886415	1111	2.25699902804587	2.31936041069547	  BC  
WGN63	2.33514237390849	0.0147861063744551	1111	2.3061305319578	2.36415421585919	   CD 
WGN36	2.34054618374992	0.0151222598590149	1111	2.31087477453261	2.37021759296722	   CD 
WGN38	2.36969178658244	0.0164861151530699	1111	2.33734435480499	2.40203921835989	    D 
WGN55	2.37476861369242	0.0144898926188795	1111	2.34633797320496	2.40319925417988	    D 
WGN39	2.39132620093743	0.0145457642942945	1111	2.36278593455011	2.41986646732474	    D 
WGN46	2.49237461248886	0.0148431506186421	1111	2.46325084393932	2.52149838103839	     E
