plantID3	famID	emmean	SE	df	lower.CL	upper.CL
1	WGN07	1.90333333350006	0.150834325684257	958	1.60732951597547	2.19933715102466
2	WGN07	2.14166666649996	0.150834325684303	958	1.84566284897527	2.43767048402464
3	WGN07	2.14666666700014	0.150834325684291	958	1.85066284947548	2.44267048452481
4	WGN07	1.7966666669999	0.150834325684297	958	1.50066284947522	2.09267048452457
5	WGN07	2.0716666665	0.150834325684302	958	1.77566284897531	2.36767048402468
6	WGN07	1.44666666700003	0.150834325684294	958	1.15066284947537	1.7426704845247
7	WGN07	1.9266666665	0.1508343256843	958	1.63066284897532	2.22267048402468
8	WGN07	2.095	0.150834325684299	958	1.79899618247532	2.39100381752467
9	WGN07	2.2783333335	0.150834325684298	958	1.98232951597532	2.57433715102468
10	WGN07	1.9716666665	0.150834325684303	958	1.67566284897532	2.26767048402469
11	WGN07	1.86500434513763	0.21336754971949	958	1.44628261872473	2.28372607155053
12	WGN07	2.07500434513762	0.213367549719501	958	1.6562826187247	2.49372607155054
13	WGN07	2.31833333300002	0.150834325684304	958	2.02232951547533	2.6143371505247
14	WGN07	1.755	0.150834325684304	958	1.45899618247531	2.05100381752468
15	WGN07	2.205	0.150834325684299	958	1.90899618247532	2.50100381752467
16	WGN07	1.9416666665	0.150834325684302	958	1.64566284897532	2.23767048402468
17	WGN07	2.27499999999998	0.150834325684296	958	1.9789961824753	2.57100381752465
18	WGN07	2.19666666650001	0.150834325684301	958	1.90066284897533	2.49267048402469
20	WGN07	1.58500434513765	0.213367549719504	958	1.16628261872472	2.00372607155058
21	WGN07	1.74333333299998	0.150834325684303	958	1.4473295154753	2.03933715052467
22	WGN07	1.63833333350001	0.150834325684298	958	1.34232951597533	1.93433715102468
23	WGN07	1.93167101113765	0.213367549719514	958	1.5129492847247	2.35039273755059
24	WGN07	2.50167101113765	0.213367549719502	958	2.08294928472472	2.92039273755057
25	WGN07	1.82833767813764	0.213367549719512	958	1.40961595172469	2.24705940455058
26	WGN07	1.98	0.150834325684306	958	1.68399618247531	2.2760038175247
27	WGN07	2.13833333350001	0.150834325684305	958	1.84232951597532	2.4343371510247
28	WGN07	1.925	0.150834325684301	958	1.62899618247532	2.22100381752468
29	WGN07	1.985	0.150834325684303	958	1.68899618247531	2.28100381752468
30	WGN07	1.88333333350003	0.150834325684299	958	1.58732951597535	2.17933715102471
31	WGN07	2.06333333300002	0.150834325684304	958	1.76732951547533	2.3593371505247
32	WGN07	2.03	0.150834325684303	958	1.73399618247531	2.32600381752469
33	WGN07	2.115	0.150834325684302	958	1.81899618247532	2.41100381752469
34	WGN07	2.0683333335	0.150834325684302	958	1.77232951597532	2.36433715102468
35	WGN07	2.0483333335	0.150834325684306	958	1.7523295159753	2.34433715102469
36	WGN07	1.885	0.150834325684301	958	1.58899618247532	2.18100381752468
37	WGN07	1.80499999999999	0.150834325684302	958	1.50899618247531	2.10100381752468
38	WGN07	1.92750000000001	0.150834325684301	958	1.63149618247533	2.22350381752469
39	WGN07	1.6816666665	0.150834325684302	958	1.38566284897531	1.97767048402468
40	WGN07	1.56166666649998	0.150834325684301	958	1.2656628489753	1.85767048402467
41	WGN07	1.75833767813766	0.2133675497195	958	1.33961595172474	2.17705940455058
42	WGN07	1.67333333350001	0.150834325684302	958	1.37732951597532	1.96933715102469
44	WGN07	1.37166666700002	0.150834325684298	958	1.07566284947534	1.66767048452469
46	WGN07	1.85666666649999	0.150834325684305	958	1.5606628489753	2.15267048402468
47	WGN07	1.90833767813766	0.213367549719508	958	1.48961595172472	2.32705940455059
48	WGN07	2.29166666649999	0.150834325684299	958	1.99566284897531	2.58767048402467
49	WGN07	2.05833767813764	0.2133675497195	958	1.63961595172472	2.47705940455056
50	WGN07	2.00500000000001	0.150834325684303	958	1.70899618247533	2.3010038175247
51	WGN07	1.9516666665	0.150834325684304	958	1.65566284897532	2.24767048402469
52	WGN07	1.625	0.150834325684303	958	1.32899618247532	1.92100381752469
53	WGN07	2.07166666650001	0.150834325684303	958	1.77566284897532	2.36767048402469
54	WGN07	1.71833333349999	0.150834325684303	958	1.42232951597531	2.01433715102468
55	WGN07	2.04333333350001	0.150834325684299	958	1.74732951597533	2.33933715102468
56	WGN07	2.40000000000001	0.150834325684306	958	2.10399618247532	2.6960038175247
57	WGN07	2.08666666650001	0.150834325684304	958	1.79066284897533	2.3826704840247
58	WGN07	2.3033333335	0.150834325684301	958	2.00732951597532	2.59933715102468
59	WGN07	1.8433333335	0.1508343256843	958	1.54732951597532	2.13933715102468
60	WGN07	1.9866666665	0.150834325684302	958	1.69066284897532	2.28267048402469
61	WGN07	1.985	0.150834325684303	958	1.68899618247531	2.28100381752468
63	WGN07	1.78999999999999	0.150834325684301	958	1.49399618247531	2.08600381752468
64	WGN07	2.00833767813764	0.213367549719502	958	1.58961595172472	2.42705940455057
66	WGN07	1.895	0.150834325684302	958	1.59899618247532	2.19100381752469
67	WGN07	1.61833333299999	0.150834325684304	958	1.32232951547531	1.91433715052468
68	WGN07	1.62999999999999	0.150834325684302	958	1.3339961824753	1.92600381752467
69	WGN07	1.93167101113763	0.213367549719499	958	1.51294928472471	2.35039273755054
71	WGN07	1.64000000000001	0.150834325684299	958	1.34399618247533	1.93600381752469
73	WGN07	2.01999999999999	0.150834325684302	958	1.72399618247531	2.31600381752468
74	WGN07	2.27000000000001	0.1508343256843	958	1.97399618247533	2.56600381752469
75	WGN07	2.12166666700001	0.150834325684302	958	1.82566284947532	2.41767048452469
76	WGN07	1.88	0.150834325684301	958	1.58399618247532	2.17600381752468
77	WGN07	1.905	0.150834325684304	958	1.60899618247531	2.20100381752469
78	WGN07	1.846666667	0.150834325684299	958	1.55066284947533	2.14267048452468
79	WGN07	1.70833333350001	0.1508343256843	958	1.41232951597533	2.00433715102469
80	WGN07	1.7466666665	0.150834325684303	958	1.45066284897531	2.04267048402468
81	WGN07	1.77999999999999	0.150834325684303	958	1.48399618247531	2.07600381752468
82	WGN07	2.03	0.150834325684303	958	1.73399618247532	2.32600381752469
83	WGN07	1.79333767813765	0.21336754971951	958	1.37461595172471	2.21205940455059
84	WGN07	1.8833333335	0.1508343256843	958	1.58732951597533	2.17933715102468
85	WGN07	1.9266666665	0.150834325684298	958	1.63066284897532	2.22267048402468
86	WGN07	2.015	0.1508343256843	958	1.71899618247532	2.31100381752467
87	WGN07	1.835	0.150834325684306	958	1.53899618247531	2.1310038175247
88	WGN07	2.17000000000001	0.150834325684303	958	1.87399618247532	2.46600381752469
89	WGN07	1.89	0.1508343256843	958	1.59399618247532	2.18600381752468
90	WGN07	1.92833333349998	0.150834325684304	958	1.6323295159753	2.22433715102467
91	WGN07	2.08999999999999	0.150834325684299	958	1.79399618247531	2.38600381752466
92	WGN07	2.06832898886236	0.213367549719505	958	1.64960726244943	2.48705071527529
93	WGN07	1.77500434513765	0.213367549719505	958	1.35628261872472	2.19372607155058
94	WGN07	1.6333333335	0.150834325684303	958	1.33732951597531	1.92933715102468
95	WGN07	1.951666667	0.150834325684298	958	1.65566284947532	2.24767048452467
96	WGN07	1.63083333349999	0.150834325684299	958	1.33482951597532	1.92683715102467
97	WGN07	1.97167101113764	0.213367549719503	958	1.55294928472471	2.39039273755057
98	WGN07	1.866666667	0.150834325684301	958	1.57066284947532	2.16267048452468
99	WGN07	1.885	0.150834325684303	958	1.58899618247532	2.18100381752469
100	WGN07	2.11500000000002	0.1508343256843	958	1.81899618247534	2.4110038175247
101	WGN07	1.87833767813763	0.213367549719505	958	1.4596159517247	2.29705940455056
102	WGN07	2.28166666699999	0.150834325684296	958	1.98566284947532	2.57767048452466
103	WGN07	1.76166666650001	0.150834325684302	958	1.46566284897532	2.05767048402469
104	WGN07	2.28666666650001	0.150834325684304	958	1.99066284897532	2.5826704840247
105	WGN07	1.685	0.150834325684301	958	1.38899618247532	1.98100381752468
106	WGN07	1.55167101113763	0.213367549719505	958	1.1329492847247	1.97039273755056
107	WGN07	1.65333333349999	0.150834325684305	958	1.3573295159753	1.94933715102468
108	WGN07	2.12333333350001	0.1508343256843	958	1.82732951597533	2.41933715102469
109	WGN07	2.28166232186234	0.213367549719499	958	1.86294059544942	2.70038404827525
110	WGN07	2.1583333335	0.1508343256843	958	1.86232951597532	2.45433715102468
112	WGN07	2.1116666665	0.150834325684302	958	1.81566284897532	2.40767048402468
113	WGN07	1.9641666665	0.150834325684302	958	1.66816284897532	2.26017048402469
114	WGN07	2.32833333349999	0.1508343256843	958	2.03232951597531	2.62433715102467
115	WGN07	2.22333333350001	0.150834325684301	958	1.92732951597532	2.51933715102469
116	WGN07	2.26833333350001	0.1508343256843	958	1.97232951597533	2.56433715102468
117	WGN07	1.83000000000001	0.150834325684298	958	1.53399618247533	2.12600381752468
118	WGN07	2.59499565486237	0.213367549719505	958	2.17627392844944	3.01371738127531
119	WGN07	2.12166666650001	0.150834325684302	958	1.82566284897532	2.41767048402469
120	WGN07	2.09333333349999	0.150834325684297	958	1.79732951597532	2.38933715102467
121	WGN07	1.7416666665	0.150834325684301	958	1.44566284897532	2.03767048402468
122	WGN07	1.92500434513764	0.213367549719507	958	1.50628261872471	2.34372607155058
123	WGN07	1.79500000000001	0.150834325684301	958	1.49899618247533	2.0910038175247
124	WGN07	1.72167101113761	0.213367549719495	958	1.3029492847247	2.14039273755052
125	WGN07	1.79500000000002	0.150834325684301	958	1.49899618247533	2.0910038175247
126	WGN07	2.19166666700001	0.1508343256843	958	1.89566284947533	2.48767048452469
127	WGN07	2.28000000000001	0.150834325684303	958	1.98399618247533	2.57600381752469
128	WGN07	1.97166232186237	0.213367549719504	958	1.55294059544944	2.3903840482753
129	WGN07	2.03333333350001	0.150834325684304	958	1.73732951597532	2.3293371510247
130	WGN07	1.6583333335	0.150834325684299	958	1.36232951597533	1.95433715102468
1	WGN15	2.0833333335	0.150834325684298	958	1.78732951597532	2.37933715102467
2	WGN15	1.84167101113766	0.213367549719502	958	1.42294928472473	2.26039273755058
3	WGN15	2.33166666649999	0.150834325684298	958	2.03566284897532	2.62767048402467
4	WGN15	1.70833767813767	0.213367549719505	958	1.28961595172474	2.1270594045506
5	WGN15	2.035	0.150834325684305	958	1.73899618247531	2.33100381752469
7	WGN15	1.89999999999999	0.1508343256843	958	1.60399618247531	2.19600381752467
8	WGN15	2.1083333335	0.150834325684298	958	1.81232951597532	2.40433715102467
9	WGN15	1.94666666700001	0.150834325684298	958	1.65066284947534	2.24267048452469
10	WGN15	1.6883333335	0.1508343256843	958	1.39232951597532	1.98433715102468
11	WGN15	1.7216666665	0.150834325684301	958	1.42566284897532	2.01767048402468
12	WGN15	1.8933333335	0.1508343256843	958	1.59732951597532	2.18933715102468
13	WGN15	1.82500434513764	0.213367549719503	958	1.40628261872471	2.24372607155057
14	WGN15	1.885	0.150834325684301	958	1.58899618247532	2.18100381752468
15	WGN15	1.956666667	0.150834325684299	958	1.66066284947532	2.25267048452468
16	WGN15	1.65166666649999	0.150834325684302	958	1.35566284897531	1.94767048402468
17	WGN15	1.86833767813765	0.213367549719498	958	1.44961595172474	2.28705940455057
18	WGN15	1.80167101113764	0.213367549719505	958	1.38294928472472	2.22039273755057
19	WGN15	1.24499999999998	0.150834325684304	958	0.948996182475292	1.54100381752466
20	WGN15	2.03499999999999	0.150834325684302	958	1.73899618247531	2.33100381752468
21	WGN15	2.05	0.150834325684298	958	1.75399618247532	2.34600381752468
22	WGN15	1.53333333349999	0.150834325684302	958	1.23732951597531	1.82933715102467
23	WGN15	1.738333333	0.150834325684302	958	1.44232951547531	2.03433715052468
24	WGN15	1.81333333350001	0.150834325684298	958	1.51732951597533	2.10933715102468
25	WGN15	1.90166666699999	0.150834325684305	958	1.6056628494753	2.19767048452468
26	WGN15	1.64166666700002	0.150834325684298	958	1.34566284947535	1.9376704845247
27	WGN15	2.1041666665	0.150834325684303	958	1.80816284897532	2.40017048402469
28	WGN15	1.79833333299999	0.150834325684304	958	1.5023295154753	2.09433715052468
29	WGN15	1.64	0.150834325684299	958	1.34399618247532	1.93600381752468
30	WGN15	1.68500434513763	0.213367549719509	958	1.26628261872469	2.10372607155056
31	WGN15	1.665	0.150834325684299	958	1.36899618247533	1.96100381752468
32	WGN15	1.925	0.150834325684301	958	1.62899618247532	2.22100381752468
33	WGN15	1.60999999999999	0.150834325684302	958	1.31399618247531	1.90600381752468
34	WGN15	1.576666667	0.150834325684301	958	1.28066284947532	1.87267048452468
35	WGN15	1.75666666649999	0.1508343256843	958	1.46066284897531	2.05267048402467
36	WGN15	1.86166666650001	0.150834325684303	958	1.56566284897532	2.15767048402469
37	WGN15	2.02833333299999	0.150834325684301	958	1.73232951547531	2.32433715052467
38	WGN15	1.51167101113766	0.213367549719501	958	1.09294928472474	1.93039273755058
39	WGN15	1.778333333	0.150834325684301	958	1.48232951547532	2.07433715052468
40	WGN15	1.65666666650001	0.1508343256843	958	1.36066284897533	1.95267048402469
41	WGN15	1.79333333350001	0.150834325684295	958	1.49732951597534	2.08933715102468
43	WGN15	1.61999999999999	0.150834325684302	958	1.32399618247531	1.91600381752468
44	WGN15	1.8333333335	0.150834325684301	958	1.53732951597532	2.12933715102468
45	WGN15	1.58333333300001	0.150834325684299	958	1.28732951547533	1.87933715052468
46	WGN15	1.78	0.1508343256843	958	1.48399618247533	2.07600381752468
47	WGN15	1.865	0.150834325684303	958	1.56899618247531	2.16100381752468
48	WGN15	1.89833767813761	0.213367549719502	958	1.47961595172469	2.31705940455054
50	WGN15	1.88500000000001	0.150834325684301	958	1.58899618247533	2.18100381752469
51	WGN15	1.60166666650001	0.1508343256843	958	1.30566284897533	1.89767048402469
52	WGN15	1.99	0.1508343256843	958	1.69399618247532	2.28600381752468
53	WGN15	1.38333767813768	0.2133675497195	958	0.964615951724763	1.8020594045506
54	WGN15	1.95166232186236	0.213367549719501	958	1.53294059544944	2.37038404827529
55	WGN15	1.8166666665	0.1508343256843	958	1.52066284897532	2.11267048402468
56	WGN15	1.77833333350001	0.1508343256843	958	1.48232951597533	2.07433715102469
58	WGN15	1.9316666665	0.1508343256843	958	1.63566284897532	2.22767048402468
59	WGN15	2.195	0.150834325684301	958	1.89899618247532	2.49100381752468
60	WGN15	1.745	0.1508343256843	958	1.44899618247532	2.04100381752468
61	WGN15	1.81666666699999	0.1508343256843	958	1.52066284947531	2.11267048452467
62	WGN15	1.81499999999999	0.150834325684302	958	1.51899618247531	2.11100381752468
63	WGN15	1.85166666649999	0.150834325684302	958	1.55566284897531	2.14767048402468
64	WGN15	1.99	0.150834325684303	958	1.69399618247532	2.28600381752469
66	WGN15	1.20166666650001	0.150834325684301	958	0.905662848975328	1.49767048402469
67	WGN15	2.2283333335	0.150834325684304	958	1.93232951597532	2.52433715102469
68	WGN15	1.42999999999999	0.150834325684302	958	1.13399618247531	1.72600381752468
69	WGN15	1.7066666665	0.1508343256843	958	1.41066284897532	2.00267048402468
70	WGN15	1.58000000000001	0.150834325684298	958	1.28399618247534	1.87600381752469
71	WGN15	1.85833767813765	0.213367549719497	958	1.43961595172474	2.27705940455057
72	WGN15	1.97167101113764	0.213367549719504	958	1.55294928472472	2.39039273755057
73	WGN15	2.2733333335	0.150834325684302	958	1.97732951597532	2.56933715102469
74	WGN15	1.84500434513765	0.213367549719504	958	1.42628261872472	2.26372607155058
75	WGN15	1.785	0.150834325684301	958	1.48899618247532	2.08100381752468
77	WGN15	1.83666666650002	0.150834325684299	958	1.54066284897535	2.1326704840247
78	WGN15	1.62499999999999	0.1508343256843	958	1.32899618247531	1.92100381752467
79	WGN15	1.885	0.150834325684301	958	1.58899618247532	2.18100381752468
80	WGN15	1.785	0.150834325684301	958	1.48899618247532	2.08100381752468
81	WGN15	2.2316666665	0.1508343256843	958	1.93566284897532	2.52767048402468
82	WGN15	1.68499565486235	0.213367549719503	958	1.26627392844942	2.10371738127527
83	WGN15	1.87167101113764	0.213367549719506	958	1.45294928472471	2.29039273755058
84	WGN15	1.855	0.150834325684302	958	1.55899618247531	2.15100381752468
85	WGN15	1.885	0.1508343256843	958	1.58899618247532	2.18100381752468
86	WGN15	1.36666666649999	0.150834325684302	958	1.0706628489753	1.66267048402467
87	WGN15	1.518333333	0.150834325684301	958	1.22232951547532	1.81433715052468
88	WGN15	1.93499565486235	0.213367549719508	958	1.51627392844942	2.35371738127529
89	WGN15	1.908333333	0.150834325684303	958	1.61232951547531	2.20433715052468
90	WGN15	1.735	0.1508343256843	958	1.43899618247532	2.03100381752468
91	WGN15	1.5483333335	0.150834325684301	958	1.25232951597532	1.84433715102468
92	WGN15	1.55999999999998	0.150834325684305	958	1.2639961824753	1.85600381752467
93	WGN15	1.80666666650001	0.150834325684299	958	1.51066284897534	2.10267048402469
94	WGN15	1.93499999999999	0.150834325684299	958	1.63899618247531	2.23100381752467
95	WGN15	1.93333333349999	0.150834325684301	958	1.63732951597531	2.22933715102468
96	WGN15	1.52167101113764	0.213367549719507	958	1.1029492847247	1.94039273755057
97	WGN15	1.93833333299999	0.150834325684301	958	1.64232951547531	2.23433715052468
98	WGN15	1.868333333	0.150834325684301	958	1.57232951547531	2.16433715052468
99	WGN15	1.85	0.150834325684301	958	1.55399618247532	2.14600381752468
100	WGN15	1.605	0.150834325684302	958	1.30899618247531	1.90100381752468
101	WGN15	1.7466666665	0.1508343256843	958	1.45066284897532	2.04267048402468
102	WGN15	1.76666666650001	0.150834325684299	958	1.47066284897533	2.06267048402469
103	WGN15	1.73500434513765	0.213367549719504	958	1.31628261872472	2.15372607155058
104	WGN15	1.561666667	0.150834325684301	958	1.26566284947532	1.85767048452468
106	WGN15	1.64833767813765	0.2133675497195	958	1.22961595172473	2.06705940455057
107	WGN15	1.72500434513764	0.213367549719504	958	1.30628261872471	2.14372607155057
108	WGN15	1.86	0.150834325684302	958	1.56399618247532	2.15600381752468
109	WGN15	1.5766666665	0.150834325684301	958	1.28066284897532	1.87267048402468
110	WGN15	1.8833333335	0.150834325684302	958	1.58732951597532	2.17933715102468
111	WGN15	1.74833767813764	0.213367549719506	958	1.32961595172471	2.16705940455057
112	WGN15	1.82499999999999	0.150834325684301	958	1.52899618247531	2.12100381752468
113	WGN15	1.94999999999999	0.150834325684302	958	1.65399618247531	2.24600381752467
114	WGN15	1.798333333	0.1508343256843	958	1.50232951547532	2.09433715052468
115	WGN15	1.6183333335	0.1508343256843	958	1.32232951597533	1.91433715102468
116	WGN15	1.81167101113764	0.213367549719503	958	1.39294928472472	2.23039273755057
117	WGN15	1.8216666665	0.150834325684301	958	1.52566284897532	2.11767048402468
118	WGN15	1.5933333335	0.150834325684301	958	1.29732951597532	1.88933715102468
119	WGN15	1.6283333335	0.150834325684302	958	1.33232951597532	1.92433715102468
120	WGN15	2.33832898886235	0.213367549719505	958	1.91960726244942	2.75705071527528
121	WGN15	1.67166666699999	0.150834325684303	958	1.37566284947531	1.96767048452467
122	WGN15	1.51499565486236	0.213367549719505	958	1.09627392844943	1.93371738127529
123	WGN15	1.64	0.150834325684302	958	1.34399618247532	1.93600381752468
124	WGN15	1.625	0.1508343256843	958	1.32899618247532	1.92100381752468
125	WGN15	2.078333333	0.150834325684301	958	1.78232951547532	2.37433715052468
126	WGN15	1.54499565486236	0.213367549719505	958	1.12627392844943	1.96371738127529
127	WGN15	1.35833333299999	0.150834325684301	958	1.06232951547531	1.65433715052467
128	WGN15	2.09	0.150834325684302	958	1.79399618247532	2.38600381752468
129	WGN15	1.67166666650001	0.1508343256843	958	1.37566284897533	1.96767048402469
130	WGN15	1.77666666649999	0.150834325684301	958	1.48066284897531	2.07267048402467
1	WGN26	1.83833333349999	0.150834325684302	958	1.54232951597531	2.13433715102467
3	WGN26	2.29833767813765	0.213367549719509	958	1.87961595172472	2.71705940455059
4	WGN26	1.82666666650002	0.1508343256843	958	1.53066284897534	2.12267048402469
5	WGN26	2.116666667	0.150834325684301	958	1.82066284947532	2.41267048452468
6	WGN26	1.83833333300001	0.150834325684302	958	1.54232951547533	2.13433715052469
7	WGN26	2.26166666699999	0.150834325684299	958	1.96566284947531	2.55767048452467
8	WGN26	1.86666666650001	0.150834325684304	958	1.57066284897533	2.1626704840247
9	WGN26	2.16167101113764	0.213367549719505	958	1.74294928472471	2.58039273755058
10	WGN26	2.515	0.1508343256843	958	2.21899618247532	2.81100381752468
11	WGN26	2.185	0.150834325684299	958	1.88899618247532	2.48100381752467
12	WGN26	2.075	0.150834325684299	958	1.77899618247532	2.37100381752468
13	WGN26	2.06833333350002	0.150834325684305	958	1.77232951597533	2.36433715102471
14	WGN26	2.2566666665	0.1508343256843	958	1.96066284897532	2.55267048402468
15	WGN26	2.03500000000001	0.150834325684302	958	1.73899618247533	2.3310038175247
17	WGN26	1.94166666650001	0.1508343256843	958	1.64566284897533	2.23767048402469
18	WGN26	2.255	0.150834325684299	958	1.95899618247532	2.55100381752467
19	WGN26	2.1133333335	0.1508343256843	958	1.81732951597532	2.40933715102468
20	WGN26	1.75833767813766	0.213367549719509	958	1.33961595172472	2.1770594045506
21	WGN26	1.69	0.150834325684302	958	1.39399618247532	1.98600381752468
22	WGN26	2.3116666665	0.150834325684301	958	2.01566284897532	2.60767048402468
23	WGN26	2.24833767813768	0.213367549719514	958	1.82961595172473	2.66705940455063
24	WGN26	2.32167101113767	0.213367549719507	958	1.90294928472473	2.7403927375506
25	WGN26	1.88166666700001	0.150834325684297	958	1.58566284947533	2.17767048452468
26	WGN26	2.04167101113765	0.213367549719503	958	1.62294928472472	2.46039273755057
27	WGN26	1.83166666650001	0.150834325684303	958	1.53566284897532	2.12767048402469
