	flag_leaf_area
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	25.1	23.74	NS	12.67	12.75	NS	49.49	50.13	NS	18.96	19.16	NS
WGN15	23.62	21.86	0.03	12.16	11.75	NS	43.4	42.81	NS	16.59	15.34	NS
WGN26	24.17	22.55	0.05	13.01	13.71	NS	47.91	45.31	NS	17.63	18.75	NS
WGN36	25.37	26.31	NS	13.77	13.39	NS	52.72	55.36	NS	17.66	17.97	NS
WGN38	25.81	26.32	NS	13.62	14.53	NS	49.47	49.2	NS	16.38	17.26	NS
WGN39	25.14	25.31	NS	14.82	15.73	NS	49.18	52.87	0.04	18.73	19.06	NS
WGN45	22.95	23.36	NS	13.62	13.78	NS	45.57	43.85	NS	17.25	17.1	NS
WGN46	26.75	26.65	NS	14.72	14.7	NS	53.1	53.27	NS	20.18	20.34	NS
WGN55	23.98	24.23	NS	14.14	14.14	NS	42.08	42.07	NS	16.02	16.73	NS
WGN63	25.96	24.54	0.03	13.95	13.39	NS	49.83	47.6	NS	18.61	16.75	0.04

	floret_site_utilization
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	0.47	0.46	NS	0.59	0.57	NS	0.39	0.34	0	0.02	0.02	NS
WGN15	0.49	0.49	NS	0.61	0.58	NS	0.4	0.38	NS	0.01	0.01	NS
WGN26	0.49	0.47	NS	0.61	0.62	NS	0.4	0.38	NS	0.04	0.03	0.02
WGN36	0.47	0.47	NS	0.61	0.63	NS	0.36	0.33	NS	0.03	0.03	NS
WGN38	0.44	0.42	NS	0.55	0.56	NS	0.35	0.29	0	0.03	0.02	NS
WGN39	0.52	0.52	NS	0.64	0.59	NS	0.38	0.38	NS	0.02	0.02	NS
WGN45	0.47	0.47	NS	0.6	0.62	NS	0.38	0.38	NS	0.03	0.02	NS
WGN46	0.5	0.48	NS	0.62	0.62	NS	0.39	0.37	NS	0.05	0.04	NS
WGN55	0.51	0.5	NS	0.67	0.63	NS	0.4	0.39	NS	0.02	0.03	NS
WGN63	0.45	0.46	NS	0.57	0.6	NS	0.34	0.36	NS	0.02	0.01	NS

	florets_per_spikelet
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	8.99	9.08	NS	6.27	6.22	NS	8.88	8.99	NS	4.84	4.87	NS
WGN15	8.7	8.63	NS	6.06	5.99	NS	8.34	8.16	NS	4.68	4.42	NS
WGN26	8.53	8.77	NS	6.08	6.38	0.04	8.14	8.49	0.04	4.71	4.78	NS
WGN36	9	9.21	NS	6.37	6.42	NS	8.68	9.04	0.02	4.93	4.98	NS
WGN38	9.33	9.52	NS	6.51	6.6	NS	9.22	9.34	NS	5.08	5.08	NS
WGN39	8.43	8.3	NS	5.86	6.09	0.05	7.93	7.8	NS	4.72	4.9	NS
WGN45	8.75	8.37	NS	6.03	5.72	0.03	8.29	8.45	NS	4.54	4.68	NS
WGN46	9.17	9.37	NS	6.54	6.51	NS	8.79	9.15	0.03	5.07	5.39	0.04
WGN55	8.61	8.65	NS	5.94	6.1	NS	8.09	8.07	NS	4.58	4.77	NS
WGN63	8.44	8.59	NS	6.03	5.92	NS	8.01	7.92	NS	4.67	4.47	NS

	height
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	107.05	98.27	0	123.93	116.31	0	101.83	91.93	0	83.86	81.03	NS
WGN15	125.54	122.93	NS	138.19	137.79	NS	121.03	120.99	NS	96.67	96.32	NS
WGN26	119.88	115.4	0.05	137.42	135.75	NS	114.12	108.4	0.02	94.53	91.92	NS
WGN36	113.87	113.73	NS	136.06	134.69	NS	108.67	106.84	NS	90.26	90.1	NS
WGN38	109.82	104.15	0.01	131.64	126.77	0.03	103.06	94.92	0.01	90.71	86.69	0.04
WGN39	124.11	127.75	0.03	136.89	138.54	NS	119.59	119.54	NS	93.03	94.76	NS
WGN45	117.82	120.56	NS	135.86	137.3	NS	111.41	115.98	NS	97.35	96.91	NS
WGN46	117.12	111.59	0.02	134.49	130.51	0.03	113.38	108.25	0.05	92.27	89.04	0.02
WGN55	120.79	118.82	NS	141.31	139.19	NS	119.09	115.5	NS	90.19	89.4	NS
WGN63	131.32	128.36	0.04	147.38	144.11	0.02	122.09	124.43	NS	100.38	98.08	NS

	reproductive_tiller_ct
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	70.12	54.48	0	155.21	136.2	0.03	90.75	77.98	0.01	65.28	60.11	NS
WGN15	78.81	66.76	0	182.5	166.15	0.05	102.22	102.12	NS	91.81	95.85	NS
WGN26	50.65	43.88	NS	123.75	100.75	0.01	78.22	63.58	0	73.48	58.22	0.01
WGN36	70.02	61.19	0.05	153.2	135.7	0.03	90.35	91.46	NS	75.07	76.2	NS
WGN38	81.2	70.75	NS	171.22	151.29	0.02	103.48	87.78	0.03	90.91	82.09	NS
WGN39	100.83	99.46	NS	202.44	204.1	NS	123.07	122.24	NS	75.2	74.3	NS
WGN45	42.46	51.48	NS	120.4	137.45	NS	67.45	74.75	NS	80.92	85.62	NS
WGN46	81.21	82.63	NS	165.54	158.31	NS	104	93.78	0.04	88.14	79.32	NS
WGN55	75.22	78.16	NS	193.66	188.47	NS	101.59	106.61	NS	67.52	67.79	NS
WGN63	88.02	84.54	NS	201.1	196.03	NS	113.43	119.02	NS	94.11	96.22	NS

	seed_area
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	7.94	7.84	NS	7.05	7.02	NS	7.14	7.18	NS	6.1	6.19	NS
WGN15	8.78	8.56	0.05	7.75	7.81	NS	8.05	8.08	NS	6.35	6.07	NS
WGN26	9.21	9.47	0.05	8.22	8.49	0.01	8.41	8.58	NS	6.36	6.79	0
WGN36	8.81	8.78	NS	8.01	7.98	NS	8.13	8.01	NS	6.32	6.29	NS
WGN38	8.65	8.61	NS	7.84	7.95	NS	7.81	7.81	NS	6.04	6.38	NS
WGN39	9.15	9.1	NS	8.35	8.32	NS	8.48	8.47	NS	6.87	6.97	NS
WGN45	8.43	8.45	NS	7.63	7.62	NS	7.43	7.51	NS	6.24	5.95	0.05
WGN46	8.57	8.39	NS	7.79	7.66	NS	7.57	7.4	NS	6.24	6.12	NS
WGN55	8.65	8.49	NS	7.66	7.65	NS	7.64	7.5	NS	5.86	5.9	NS
WGN63	9.6	9.43	NS	8.77	8.61	NS	8.74	8.68	NS	7.11	6.99	NS

	seeds_per_spike
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	4.25	4.1	NS	3.63	3.54	NS	3.46	2.96	0	0.12	0.11	NS
WGN15	4.25	4.18	NS	3.63	3.46	NS	3.29	3.1	NS	0.07	0.05	NS
WGN26	4.15	4.13	NS	3.65	3.92	0.05	3.25	3.23	NS	0.19	0.13	0.02
WGN36	4.16	4.25	NS	3.82	4.01	NS	3.06	2.98	NS	0.13	0.14	NS
WGN38	4.06	3.99	NS	3.57	3.61	NS	3.16	2.67	0	0.17	0.11	NS
WGN39	4.37	4.31	NS	3.67	3.55	NS	3	2.9	NS	0.1	0.09	NS
WGN45	4.07	3.87	NS	3.59	3.48	NS	3.12	3.17	NS	0.14	0.1	NS
WGN46	4.57	4.49	NS	3.98	3.99	NS	3.41	3.33	NS	0.26	0.2	NS
WGN55	4.36	4.29	NS	3.88	3.78	NS	3.2	3.13	NS	0.12	0.14	NS
WGN63	3.75	3.91	NS	3.39	3.53	NS	2.75	2.8	NS	0.09	0.06	NS

	spikelet_density
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	0.89	0.91	NS	0.95	0.96	NS	0.8	0.81	NS	0.99	1.03	NS
WGN15	0.73	0.74	NS	0.78	0.77	NS	0.66	0.67	NS	0.85	0.86	NS
WGN26	0.74	0.69	0	0.77	0.71	0	0.65	0.63	NS	0.9	0.81	0
WGN36	0.76	0.77	NS	0.8	0.81	NS	0.69	0.69	NS	0.94	0.94	NS
WGN38	0.83	0.8	NS	0.85	0.82	NS	0.71	0.72	NS	0.97	0.95	NS
WGN39	0.73	0.74	NS	0.81	0.8	NS	0.63	0.63	NS	0.89	0.88	NS
WGN45	0.77	0.77	NS	0.84	0.84	NS	0.73	0.72	NS	0.98	0.96	NS
WGN46	0.82	0.83	NS	0.9	0.92	NS	0.7	0.71	NS	0.97	0.97	NS
WGN55	0.81	0.82	NS	0.89	0.9	NS	0.74	0.74	NS	1	0.98	NS
WGN63	0.75	0.75	NS	0.79	0.78	NS	0.68	0.68	NS	0.92	0.93	NS

	spikelets_per_spike
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	22.81	21.92	0.01	21.94	21.35	NS	29.13	28.47	NS	23.63	23.98	NS
