	flag_leaf_area
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	25.1	23.74	0.1	12.67	12.75	0.88	49.49	50.13	0.71	18.96	19.16	0.83
WGN15	23.62	21.86	0.03	12.16	11.75	0.37	43.4	42.81	0.65	16.59	15.34	0.06
WGN26	24.17	22.55	0.05	13.01	13.71	0.24	47.91	45.31	0.09	17.63	18.75	0.16
WGN36	25.37	26.31	0.18	13.77	13.39	0.5	52.72	55.36	0.17	17.66	17.97	0.71
WGN38	25.81	26.32	0.58	13.62	14.53	0.11	49.47	49.2	0.88	16.38	17.26	0.4
WGN39	25.14	25.31	0.81	14.82	15.73	0.12	49.18	52.87	0.04	18.73	19.06	0.71
WGN45	22.95	23.36	0.71	13.62	13.78	0.82	45.57	43.85	0.33	17.25	17.1	0.85
WGN46	26.75	26.65	0.9	14.72	14.7	0.96	53.1	53.27	0.91	20.18	20.34	0.87
WGN55	23.98	24.23	0.73	14.14	14.14	0.99	42.08	42.07	0.99	16.02	16.73	0.31
WGN63	25.96	24.54	0.03	13.95	13.39	0.21	49.83	47.6	0.14	18.61	16.75	0.04

	floret_site_utilization
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	0.47	0.46	0.17	0.59	0.57	0.44	0.39	0.34	0	0.02	0.02	0.69
WGN15	0.49	0.49	0.71	0.61	0.58	0.15	0.4	0.38	0.15	0.01	0.01	0.43
WGN26	0.49	0.47	0.27	0.61	0.62	0.65	0.4	0.38	0.16	0.04	0.03	0.02
WGN36	0.47	0.47	0.82	0.61	0.63	0.32	0.36	0.33	0.16	0.03	0.03	0.96
WGN38	0.44	0.42	0.25	0.55	0.56	0.93	0.35	0.29	0	0.03	0.02	0.15
WGN39	0.52	0.52	0.88	0.64	0.59	0.06	0.38	0.38	0.7	0.02	0.02	0.85
WGN45	0.47	0.47	0.97	0.6	0.62	0.43	0.38	0.38	0.99	0.03	0.02	0.1
WGN46	0.5	0.48	0.17	0.62	0.62	0.67	0.39	0.37	0.12	0.05	0.04	0.09
WGN55	0.51	0.5	0.22	0.67	0.63	0.06	0.4	0.39	0.67	0.02	0.03	0.4
WGN63	0.45	0.46	0.31	0.57	0.6	0.12	0.34	0.36	0.44	0.02	0.01	0.26

	florets_per_spikelet
	C	D	p-value	C	D	p-value	C	D	p-value	C	D	p-value
WGN07	8.99	9.08	0.6	6.27	6.22	0.66	8.88	8.99	0.57	4.84	4.87	0.89
WGN15	8.7	8.63	0.64	6.06	5.99	0.54	8.34	8.16	0.22	4.68	4.42	0.1
WGN26	8.53	8.77	0.16	6.08	6.38	0.04	8.14	8.49	0.04	4.71	4.78	0.68
WGN36	9	9.21	0.19	6.37	6.42	0.68	8.68	9.04	0.02	4.93	4.98	0.77
WGN38	9.33	9.52	0.19	6.51	6.6	0.56	9.22	9.34	0.48	5.08	5.08	0.98
WGN39	8.43	8.3	0.4	5.86	6.09	0.05	7.93	7.8	0.47	4.72	4.9	0.3
WGN45	8.75	8.37	0.06	6.03	5.72	0.03	8.29	8.45	0.33	4.54	4.68	0.42
WGN46	9.17	9.37	0.19	6.54	6.51	0.76	8.79	9.15	0.03	5.07	5.39	0.04
WGN55	8.61	8.65	0.78	5.94	6.1	0.21	8.09	8.07	0.91	4.58	4.77	0.15
