trait	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd
flag_leaf_area	6.41	42.55	24.67	4.54	3.34	24	13.7	3.03	17.18	92.02	48.22	9.68	4.59	47.5	17.83	4.8
floret_site_utilization	0.02	0.81	0.48	0.09	0.18	1.43	0.6	0.12	0.05	0.62	0.37	0.09	-0.01	0.25	0.03	0.03
florets_per_spikelet	4.98	12	8.81	0.92	3.56	9	6.17	0.74	4.67	12.33	8.47	1	1.15	8.67	4.8	0.91
height	69.42	155	117.79	13.16	95	167.5	135.37	11.91	18.87	150	112.49	15.84	51.65	123.35	92.3	10.1
reproductive_tiller_ct	0	166.2	71.96	30.14	3.03	334.03	163.23	53.27	2.25	191.47	96.14	32.24	5.48	197.5	78.92	33.86
seed_area	6.2	11.4	8.75	0.78	5.95	10.35	7.91	0.7	5.5	10.65	7.93	0.78	4.75	9.25	6.3	0.62
seeds_per_spike	0.14	7.29	4.18	0.77	0.93	6.39	3.68	0.68	0.34	5.24	3.11	0.72	-0.04	1.15	0.13	0.15
spikelet_density	0.51	1.2	0.78	0.09	0.55	1.23	0.83	0.1	0.5	1.09	0.7	0.09	0.61	1.44	0.94	0.13
spikelets_per_spike	11.54	27.83	21.37	2.28	10.24	28.5	20.55	2.16	13.47	34.17	27.32	2.68	16.17	31.91	23.93	2.39
stem_diameter	1.26	3.65	2.32	0.28	0.75	2.5	1.72	0.19	2.17	4.26	3.18	0.31	1.07	2.91	1.97	0.24
thousand_grain_weight	3.84	13.22	9.47	1.18	4.2	11.4	8.36	1.04	3.65	11.58	7.87	1.12	2.67	7.95	5.5	0.8
yield_per_spike	0.01	1.35	0.77	0.19	0.08	1.03	0.59	0.15	0.04	1.06	0.59	0.15	-0.01	0.17	0.02	0.02
