est	p-value	est	p-value	est	p-value	est	p-value
flag_leaf_area	-0.14	0.69	0.34	0.33	0.11	0.76	0.25	0.49
floret_site_utilization	-0.08	0.83	-0.33	0.34	0	0.99	0.45	0.19
florets_per_spikelet	-0.57	0.09	0.45	0.19	0.14	0.7	0.74	0.02
height	-0.02	0.97	0.23	0.52	0.28	0.43	0.15	0.69
reproductive_tiller_ct	-0.3	0.4	-0.33	0.36	-0.4	0.25	0.3	0.4
seed_area	0.41	0.25	0.41	0.24	0.13	0.71	0.39	0.52
seeds_per_spike	-0.61	0.06	-0.26	0.47	0.09	0.81	0.49	0.15
spikelet_density	-0.01	0.98	0.65	0.04	0.15	0.67	0.28	0.43
spikelets_per_spike	0.01	0.99	-0.39	0.26	0.59	0.07	0.28	0.42
stem_diameter	-0.09	0.8	0.17	0.63	-0.07	0.85	-0.75	0.01
thousand_grain_weight	-0.02	0.95	-0.01	0.98	-0.33	0.35	0.46	0.44
yield_per_spike	0	0.99	-0.31	0.38	-0.07	0.85	0.33	0.35
