lg,map,left,right,famID,trait,env,year,marker_name,chr,env_year
9,CP,124.194,140.173,combined,flag_leaf_area,STP,2017,"FLA (STP17, STP18)",LG09,STP2017
9,DP,110.053,140.173,combined,flag_leaf_area,STP,2017,"FLA (STP17, STP18)",LG09,STP2017
5,DP,100.916,146.36,combined,floret_site_utilization,TLI,2017,"FSU (STP17, TLI17, TLI18)",LG05,TLI2017
14,DP,110.726,171.507,combined,floret_site_utilization,TLI,2017,"FSU (STP18, TLI17)",LG14,TLI2017
9,CP,124.194,140.173,combined,florets_per_spikelet,STP,2018,"FPS (STP17, STP18)",LG09,STP2018
2,DP,41.338,68.327,combined,florets_per_spikelet,TLI,2017,"FPS (STP17, TLI17)",LG02,TLI2017
15,CP,103.164,135.211,combined,height,TLI,2018,"HGT (STP18, TLI18)",LG15,TLI2018
9,CP,123.194,137.772,combined,reproductive_tiller_ct,STP,2018,"RTC (STP17, STP18)",LG09,STP2018
5,DP,103.825,146.36,combined,reproductive_tiller_ct,TLI,2017,"RTC (STP17, TLI17)",LG05,TLI2017
9,DP,100.186,140.173,combined,reproductive_tiller_ct,STP,2018,"RTC (STP17, STP18)",LG09,STP2018
5,CP,56.689,77.225,combined,seed_area,STP,2018,"SDA (STP18, TLI17)",LG05,STP2018
9,CP,113.317,140.173,combined,seed_area,STP,2017,"SDA (STP17, STP18)",LG09,STP2017
15,CP,93.337,121.117,combined,seed_area,STP,2017,"SDA (STP17, STP18)",LG15,STP2017
5,DP,84.068,122.781,combined,seed_area,STP,2018,"SDA (STP18, TLI18)",LG05,STP2018
8,DP,112.929,154.232,combined,seed_area,STP,2018,"SDA (STP18, TLI18)",LG08,STP2018
18,DP,45.19,74.123,combined,seed_area,STP,2017,"SDA (STP17, STP18)",LG18,STP2017
8,CP,146.858,159.421,combined,seeds_per_spikelet,STP,2017,"SESP (STP17, STP18, TLI17)",LG08,STP2017
5,DP,78.068,146.36,combined,spikelet_density,STP,2018,"SPDEN (STP17, STP18, TLI17)",LG05,STP2018
9,DP,37.376,72.138,combined,spikelet_density,TLI,2017,"SPDEN (STP17, STP18, TLI17)",LG09,TLI2017
21,DP,64.829,81.17,combined,spikelet_density,STP,2018,"SPDEN (STP18, TLI17)",LG21,STP2018
9,CP,72.201,140.173,combined,spikelets_per_spike,TLI,2017,"SPKSPK (STP17, STP18, TLI17) ",LG09,TLI2017
9,CP,97.306,140.173,combined,stem_diameter,TLI,2018,"STDIA (STP17, STP18, TLI18)",LG09,TLI2018
21,CP,109.234,132.721,combined,stem_diameter,TLI,2017,"STDIA (STP18, TLI17, TLI18)",LG21,TLI2017
5,DP,83.068,146.36,combined,stem_diameter,STP,2017,"STDIA (STP18, STP18, TLI17, TLI18)",LG05,STP2017
9,CP,102.306,140.173,combined,thousand_grain_weight,STP,2017,"TGW (STP17, STP18)",LG09,STP2017
8,CP,146.858,165.877,combined,yield_per_spike,STP,2017,"YPS (STP17, STP18, TLI17)",LG08,STP2017
9,CP,122.488,140.173,combined,yield_per_spike,STP,2018,"YPS (STP17, STP18)",LG09,STP2018
15,CP,110.257,139.674,combined,yield_per_spike,STP,2017,"YPS (STP17, STP18)",LG15,STP2017
