lg	map	group	left	center	right	locus	max_lod	famID	r2	mu	alpha	gamma	trait	env	year
4	DP	4_DP	88.635	119.948	142.146		3.69	WGN26	11.7	9.24574	NA	-0.23694	seed_area	stp	2017
5	DP	5_DP	7.81	10.677	10.812	DP_Chr05_337482310	9.46	combined	NA	NA	NA	NA	seed_area	stp	2017
5	CP	5_CP	72.343	95.671	95.671		3.72	WGN07	12.5	7.921935	0.196265	NA	seed_area	stp	2017
5	CP	5_CP	0	9.402	29.129		3.99	WGN15	13.4	8.61196	0.212210000000001	NA	seed_area	stp	2017
6	DP	6_DP	123.402	140.287	140.287		3.37	WGN38	14.8	8.69033	NA	0.24587	seed_area	stp	2017
9	CP	9_CP	0	5.86	26.856	CP_Chr09_111606103	9.74	combined	NA	NA	NA	NA	seed_area	stp	2017
9	DP	9_DP	20.744	56.903	68.035		9.65	combined	NA	NA	NA	NA	seed_area	stp	2017
9	DP	9_DP	0	49.903	74.059		3.58	WGN26	14.3	9.238175	NA	0.266444999999999	seed_area	stp	2017
15	CP	15_CP	93.337	99.056	121.117	CP_Chr15_523188371	9.95	combined	NA	NA	NA	NA	seed_area	stp	2017
15	DP	15_DP	64.692	68.143	69.172	DP_Chr15_469061634	3.95	WGN55	10.5	8.6419	NA	0.20357	seed_area	stp	2017
18	DP	18_DP	45.19	49.389	61.247		10.21	combined	NA	NA	NA	NA	seed_area	stp	2017
18	DP	18_DP	36.327	53.439	77.956		4.23	WGN63	15.9	9.513565	NA	0.297035	seed_area	stp	2017
19	DP	19_DP	175.217	183.923	183.923	DP_Chr19_698018736	4.18	WGN63	12.1	9.553575	NA	-0.253845	seed_area	stp	2017
