"SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","percent_variation_explained","trait","loc","year"
"Chr09_450570468",9,450570468,1.32187106169478e-10,0.350431034482759,1160,0.325683925355428,0.350142447021499,1.05591060408179e-06,-0.809860806218538,3.16971374176084,"reproductive_tiller_ct","STP","2017"
"Chr09_447902332",9,447902332,1.63565269409653e-08,0.363362068965517,1160,0.325683925355428,0.344500935395353,6.53279686022156e-05,-0.817399176377663,1.66137053196727,"reproductive_tiller_ct","STP","2017"
"Chr09_457696997",9,457696997,6.28921179047858e-08,0.388362068965517,1160,0.325683925355428,0.342939337335991,0.000167460745941143,-0.760554460544583,2.15773472068648,"reproductive_tiller_ct","STP","2017"
"Chr09_447878309",9,447878309,9.77252309650057e-08,0.372844827586207,1160,0.325683925355428,0.342429926352502,0.000195157286237116,-0.804965474561882,0.28861257610886,"reproductive_tiller_ct","STP","2017"
"Chr09_111606103",9,111606103,5.33198053835104e-07,0.447413793103448,1160,0.325683925355428,0.340476867250674,0.000851837210806963,0.697654102036594,0.0194681704230388,"reproductive_tiller_ct","STP","2017"
"Chr16_326253169",16,326253169,7.83440183661671e-07,0.468103448275862,1160,0.325683925355428,0.340035820113497,0.00104302003118157,-0.532759947414192,1.55497384436426,"reproductive_tiller_ct","STP","2017"
"Chr20_78742043",20,78742043,4.28446956095329e-06,0.0193965517241379,1160,0.325683925355428,0.338097664602803,0.00427804285661186,-1.42275998150228,1.01825397165711,"reproductive_tiller_ct","STP","2017"
"Chr05_393541505",5,393541505,1.09385548987248e-05,0.219827586206897,1160,0.325683925355428,0.337035576656268,0.00873771765310137,-0.68641727833176,3.11261421268385,"reproductive_tiller_ct","STP","2017"
"Chr03_393373881",3,393373881,0.000129502270248611,0.401724137931034,1160,0.325683925355428,0.334264707812353,0.073890295338993,-0.862577916244618,2.70969611017066,"reproductive_tiller_ct","STP","2017"
"Chr03_469631260",3,469631260,0.000172591268759279,0.128448275862069,1160,0.325683925355428,0.333945976731968,0.0919106036566081,0.578928180374035,1.38290300296224,"reproductive_tiller_ct","STP","2017"
"Chr04_46015165",4,46015165,0.000232657713473449,0.101724137931035,1160,0.325683925355428,0.333615434336493,0.116154363451619,0.58759526379751,0.621623502823786,"reproductive_tiller_ct","STP","2017"
"Chr09_447902332",9,447902332,2.15157139786173e-09,0.362456747404844,1156,0.308312889108741,0.330117149173608,1.71867523261195e-05,-0.969731492239902,3.92030735289869,"reproductive_tiller_ct","STP","2018"
"Chr09_450570468",9,450570468,4.85430538887224e-09,0.347750865051903,1156,0.308312889108741,0.329138632955778,1.93880957231557e-05,-0.82268704262107,2.50647098550977,"reproductive_tiller_ct","STP","2018"
"Chr09_447878309",9,447878309,1.02441977244709e-07,0.371539792387543,1156,0.308312889108741,0.325494502093858,0.000272768838076912,-0.894280161509911,0.812269922709608,"reproductive_tiller_ct","STP","2018"
"Chr09_457696997",9,457696997,1.95571054276375e-07,0.387110726643599,1156,0.308312889108741,0.324726855102744,0.000390555395389921,-0.813862207019113,1.9532093248576,"reproductive_tiller_ct","STP","2018"
"Chr09_111606103",9,111606103,1.3480446301309e-06,0.44636678200692,1156,0.308312889108741,0.32244703357484,0.00215363610109712,0.747974089774345,0.117600398408994,"reproductive_tiller_ct","STP","2018"
"Chr16_326253169",16,326253169,1.20126148678364e-05,0.467560553633218,1156,0.308312889108741,0.319888715582804,0.0159927945940461,-0.532138436750813,1.06646784494138,"reproductive_tiller_ct","STP","2018"
"Chr01_276632977",1,276632977,1.76549166028296e-05,0.0346020761245675,1156,0.308312889108741,0.319441503480747,0.0201467819747719,-1.14623454829157,1.91840017161161,"reproductive_tiller_ct","STP","2018"
"Chr05_426524999",5,426524999,3.72980062864096e-05,0.2469723183391,1156,0.308312889108741,0.318575923885851,0.03724205927698,-0.649325102184008,2.48838912117431,"reproductive_tiller_ct","STP","2018"
"Chr03_474461321",3,474461321,4.51041135530423e-05,0.027681660899654,1156,0.308312889108741,0.318356682367345,0.0400324065624113,1.44515662869379,2.04615267073338,"reproductive_tiller_ct","STP","2018"
"Chr15_344515633",15,344515633,0.000109566837873762,0.0194636678200692,1156,0.308312889108741,0.317336721041206,0.0838783741564263,-1.49198251181917,1.72364218206854,"reproductive_tiller_ct","STP","2018"
"Chr21_364977532",21,364977532,0.000115506023500337,0.0250865051903114,1156,0.308312889108741,0.317276279535151,0.0838783741564263,-1.41191512398282,2.23504599801516,"reproductive_tiller_ct","STP","2018"
"Chr06_52435107",6,52435107,0.000159178998177268,0.0311418685121107,1156,0.308312889108741,0.316909645092375,0.101321374097971,1.51330750809224,2.4520559683264,"reproductive_tiller_ct","STP","2018"
"Chr12_55431363",12,55431363,0.000199870484258081,0.0333044982698962,1156,0.308312889108741,0.316650020519484,0.101321374097971,-1.06386081508081,0.955245042298912,"reproductive_tiller_ct","STP","2018"
"Chr09_450570468",9,450570468,6.67512330066136e-06,0.353270223752151,1162,0.296991020546105,0.309386881554795,0.0180705044679361,-0.508849170906799,2.81902417811451,"reproductive_tiller_ct","TLI","2017"
"Chr21_116184480",21,116184480,4.77130797162777e-05,0.0279690189328744,1162,0.296991020546105,0.307080522552596,0.0346570460848235,1.29402120820124,1.10768034617201,"reproductive_tiller_ct","TLI","2017"
"Chr15_344515633",15,344515633,7.94791405143129e-05,0.020223752151463,1162,0.296991020546105,0.306487036388625,0.0454730905026624,-1.18507677037972,1.06554413423676,"reproductive_tiller_ct","TLI","2017"
"Chr04_179755056",4,179755056,7.96775052612358e-05,0.0301204819277108,1162,0.296991020546105,0.306484142835317,0.0454730905026624,1.33786292338932,1.09665827321827,"reproductive_tiller_ct","TLI","2017"
"Chr20_174499953",20,174499953,9.07972615696139e-05,0.464285714285714,1162,0.296991020546105,0.306332570486552,0.0483646746627476,-0.342152296917014,1.1573525951785,"reproductive_tiller_ct","TLI","2017"
"Chr14_377004439",14,377004439,0.000116460812047697,0.024526678141136,1162,0.296991020546105,0.306044196869814,0.0581576180163185,-1.0596732482676,1.69054104702776,"reproductive_tiller_ct","TLI","2017"
"Chr05_269372528",5,269372528,0.000145487194037917,0.0249569707401033,1162,0.296991020546105,0.305786895488913,0.0645801489090533,1.22867567139419,0.430919347500734,"reproductive_tiller_ct","TLI","2017"
"Chr07_292237197",7,292237197,0.000184203901491215,0.0232358003442341,1162,0.296991020546105,0.305514608808034,0.0774625880481478,1.19774802321987,0.6189203511494,"reproductive_tiller_ct","TLI","2017"
"Chr06_3499044",6,3499044,0.000233356819269638,0.0288296041308089,1162,0.296991020546105,0.305242238528447,0.0874793781195528,1.19443604641599,0.16638151356993,"reproductive_tiller_ct","TLI","2017"
"Chr03_393373881",3,393373881,0.000240869376549457,0.401032702237522,1162,0.296991020546105,0.305205795513787,0.0874793781195528,-0.744777626250311,1.06155642045359,"reproductive_tiller_ct","TLI","2017"
"Chr05_415889170",5,415889170,1.11462126591184e-05,0.183664649956785,1157,0.134042850634222,0.148631449529111,0.0890582391463556,0.633476734462057,1.0250922137113,"reproductive_tiller_ct","TLI","2018"
"Chr16_31442085",16,31442085,2.81749308108493e-05,0.207000864304235,1157,0.134042850634222,0.14728589704028,0.112558848589343,-0.587832250977371,0.377259239569534,"reproductive_tiller_ct","TLI","2018"
"Chr02_45033078",2,45033078,7.57635092758736e-05,0.201382886776145,1157,0.134042850634222,0.14585964695493,0.201783479704743,-0.575150656445416,0.00124694672114264,"reproductive_tiller_ct","TLI","2018"
