"SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","percent_variation_explained","trait","loc","year"
"Chr04_173993463",4,173993463,3.56349329788529e-10,0.0272255834053587,1157,0.423460563627284,0.443426804169401,2.84651844635077e-06,14.84925328387,4.39677021006551,"height","STP","2017"
"Chr04_240293260",4,240293260,1.73747977368526e-05,0.381590319792567,1157,0.423460563627284,0.432743917080539,0.0187013871531468,-4.45430570046892,2.24182491560788,"height","STP","2017"
"Chr09_450570468",9,450570468,2.57853199485563e-05,0.349611063094209,1157,0.423460563627284,0.432362950321555,0.0187013871531468,-3.28877099587839,3.57174422547801,"height","STP","2017"
"Chr07_302509525",7,302509525,5.41546091159509e-05,0.0242005185825411,1157,0.423460563627284,0.431649562520107,0.0254462951540127,8.27624359582205,0.395535295081017,"height","STP","2017"
"Chr04_49417174",4,49417174,6.14251619578301e-05,0.139585133967156,1157,0.423460563627284,0.431528818115203,0.0265120510095085,-5.24632910798755,0.00029768961618729,"height","STP","2017"
"Chr05_426524999",5,426524999,6.63796970693754e-05,0.24675885911841,1157,0.423460563627284,0.431454523794405,0.0265120510095085,-3.45069959521152,2.28305374344278,"height","STP","2017"
"Chr06_393901146",6,393901146,0.000137299179165824,0.0937770095073466,1157,0.423460563627284,0.430760622019268,0.0428711188702289,4.36920330657983,0.321061926927724,"height","STP","2017"
"Chr18_531342333",18,531342333,0.000139540446998742,0.0259291270527226,1157,0.423460563627284,0.430745208706089,0.0428711188702289,7.69722768821612,0.00540926468781398,"height","STP","2017"
"Chr21_116184480",21,116184480,0.000156947170536573,0.0280898876404494,1157,0.423460563627284,0.430633372211515,0.0464331110461535,8.29132230517064,1.34973860255731,"height","STP","2017"
"Chr02_296932374",2,296932374,0.000176651002784988,0.175021607605877,1157,0.423460563627284,0.430520973143734,0.050396007508803,3.19668760069601,0.409523924392841,"height","STP","2017"
"Chr09_450570468",9,450570468,3.32907416943591e-08,0.345486111111111,1152,0.388718689901403,0.405143823894913,0.00026592644465454,-3.91121669100244,3.21751620112646,"height","STP","2018"
"Chr04_173993463",4,173993463,3.15773205313739e-05,0.02734375,1152,0.388718689901403,0.397991025708458,0.0371488275432834,8.76914257322699,3.59701053309132,"height","STP","2018"
"Chr04_240293260",4,240293260,3.25540551831477e-05,0.381510416666667,1152,0.388718689901403,0.397959804326547,0.0371488275432834,-3.93585515946233,2.8889484299923,"height","STP","2018"
"Chr14_458707005",14,458707005,9.22532904449601e-05,0.0295138888888888,1152,0.388718689901403,0.396896258679444,0.081382269087651,4.69026352069341,1.31874997245426,"height","STP","2018"
"Chr16_326253169",16,326253169,0.000101880657345582,0.46484375,1152,0.388718689901403,0.396795339885504,0.081382269087651,-2.36543299531309,0.907194646785125,"height","STP","2018"
"Chr17_293056418",17,293056418,0.000168209304872196,0.324652777777778,1152,0.388718689901403,0.396286831444164,0.103358148255316,3.44472466349112,1.08217035019547,"height","STP","2018"
"Chr20_173511475",20,173511475,0.000204207091435829,0.384982638888889,1152,0.388718689901403,0.396090747895878,0.116514731884957,-2.79655010016495,0.685754243482978,"height","STP","2018"
"Chr17_323750192",17,323750192,1.19695356638272e-06,0.445399828030954,1163,0.333827341682504,0.34749109612483,0.00956365899539793,-3.84663222805455,4.52632688411487,"height","TLI","2017"
"Chr04_173993463",4,173993463,3.46106510801097e-06,0.027085124677558,1163,0.333827341682504,0.346298217562068,0.0138269551065038,13.3698394865372,0.385056957608661,"height","TLI","2017"
"Chr06_386347106",6,386347106,2.69960909035709e-05,0.0214961306964746,1163,0.333827341682504,0.344009392686078,0.0501485981210681,10.8131080114079,0.316711642299328,"height","TLI","2017"
"Chr05_209580093",5,209580093,3.99339792185434e-05,0.0253654342218401,1163,0.333827341682504,0.34357634752968,0.0501485981210681,11.0939560833315,2.47968180454244,"height","TLI","2017"
"Chr04_49417174",4,49417174,7.74405178582023e-05,0.140154772141015,1163,0.333827341682504,0.342846545890682,0.076941119642878,-6.31327230011539,0.646212892450682,"height","TLI","2017"
"Chr04_159274767",4,159274767,0.000106646477165091,0.269991401547721,1163,0.333827341682504,0.342495211559719,0.076941119642878,-5.62765008509814,0.985412124540166,"height","TLI","2017"
"Chr18_471424613",18,471424613,0.000121851954660937,0.0202063628546862,1163,0.333827341682504,0.342349141732032,0.076941119642878,-9.80263095119858,1.97545928945219,"height","TLI","2017"
"Chr16_194646484",16,194646484,0.000123008453818779,0.197764402407567,1163,0.333827341682504,0.342338795623663,0.076941119642878,-4.33051632593788,0.560238738070913,"height","TLI","2017"
"Chr16_139291876",16,139291876,6.07434354626755e-06,0.153879310344828,1160,0.266367994547903,0.279442666706599,0.0485340049346777,-3.66916783273092,2.94483040567077,"height","TLI","2018"
"Chr16_341236327",16,341236327,5.51374833595633e-05,0.021551724137931,1160,0.266367994547903,0.276739228200016,0.220274246021455,-6.70747062657367,1.83397875577432,"height","TLI","2018"
