lg	map	group	left	center	right	locus	max_lod	famID	r2	mu	alpha	gamma	trait	env	year
2	DP	2_DP	91.406	98.651	109.684	DP_Chr02_373661291	8.47	combined	NA	NA	NA	NA	seed_area	tli	2018
2	DP	2_DP	91.406	98.651	122.507	DP_Chr02_373661291	3.76	WGN38	37.4	6.16199	NA	-0.29633	seed_area	tli	2018
2	CP	2_CP	76.064	97.627	112.883	CP_Chr02_375283197	3.35	WGN45	21.9	6.042375	-0.263725	NA	seed_area	tli	2018
5	DP	5_DP	23.579	38.154	56.636		8.13	combined	NA	NA	NA	NA	seed_area	tli	2018
5	DP	5_DP	0	20.595	96.384		3.68	WGN26	51.5	6.6298	NA	0.41224	seed_area	tli	2018
5	DP	5_DP	58.292	79.234	85.131	DP_Chr05_73702603	3.53	WGN46	16.8	6.16729	NA	-0.19729	seed_area	tli	2018
8	DP	8_DP	40.399	54.22	57.22	DP_Chr08_328428960	8.91	combined	NA	NA	NA	NA	seed_area	tli	2018
9	DP	9_DP	90.597	102.797	121.121		9.31	combined	NA	NA	NA	NA	seed_area	tli	2018
9	DP	9_DP	74.059	84.387	134.396	DP_Chr09_338389514	4.59	WGN39	36.8	6.92915	NA	-0.29685	seed_area	tli	2018
18	DP	18_DP	11.463	43.794	67.491	DP_Chr18_47281403	3.02	WGN45	21.1	6.04569	NA	-0.25393	seed_area	tli	2018
20	DP	20_DP	102.871	133.704	149.991	DP_Chr20_215386527	3.77	WGN39	34.4	6.94198	NA	0.28098	seed_area	tli	2018
